iso_num,country,ref,ref_iso_num
4,Afghanistan,Ethiopia,530
116,Cambodia,Ethiopia,530
192,Cuba,Ethiopia,530
232,Eritrea,Ethiopia,530
408,"Korea, Dem. People's Rep.",Ethiopia,530
728,South Sudan,Ethiopia,530
626,Timor-Leste,Ethiopia,530
704,Vietnam,Ethiopia,530
896,"Vietnam, North",Ethiopia,530
226,Equatorial Guinea,Guinea,438
678,Sao Tome and Principe,Guinea,438
706,Somalia,Guinea,438
8,Albania,Hungary,310
51,Armenia,Hungary,310
31,Azerbaijan,Hungary,310
112,Belarus,Hungary,310
191,Croatia,Hungary,310
70,Bosnia and Herzegovina,Hungary,310
233,Estonia,Hungary,310
268,Georgia,Hungary,310
398,Kazakhstan,Hungary,310
689,Kosovo,Hungary,310
417,Kyrgyz Republic,Hungary,310
428,Latvia,Hungary,310
440,Lithuania,Hungary,310
807,North Macedonia,Hungary,310
498,Moldova,Hungary,310
705,Slovenia,Hungary,310
762,Tajikistan,Hungary,310
795,Turkmenistan,Hungary,310
804,Ukraine,Hungary,310
860,Uzbekistan,Hungary,310
278,"Germany, East",Hungary,310
28,Antigua and Barbuda,Jamaica,51
96,Brunei,Jamaica,51
296,Kiribati,Jamaica,51
462,Maldives,Jamaica,51
584,Marshall Islands,Jamaica,51
583,Micronesia,Jamaica,51
520,Nauru,Jamaica,51
585,Palau,Jamaica,51
882,Samoa,Jamaica,51
776,Tonga,Jamaica,51
798,Tuvalu,Jamaica,51
548,Vanuatu,Jamaica,51
316,Guam,Jamaica,51
580,Northern Mariana Islands,Jamaica,51
660,Anguilla,Jamaica,51
533,Aruba,Jamaica,51
44,Bahamas,Jamaica,51
84,Belize,Jamaica,51
60,Bermuda,Jamaica,51
64,Bhutan,Jamaica,51
92,British Virgin Islands,Jamaica,51
531,Curacao,Jamaica,51
242,Fiji,Jamaica,51
308,Grenada,Jamaica,51
328,Guyana,Jamaica,51
598,Papua New Guinea,Jamaica,51
534,Sint Maarten (Dutch part),Jamaica,51
90,Solomon Islands,Jamaica,51
659,St. Kitts and Nevis,Jamaica,51
670,St. Vincent and the Grenadines,Jamaica,51
740,Suriname,Jamaica,51
850,Virgin Islands (U.S.),Jamaica,51
796,Turks and Caicos,Jamaica,51
422,Lebanon,Pakistan,770
434,Libya,Pakistan,770
887,Yemen,Pakistan,770
20,Andorra,Switzerland,225
438,Liechtenstein,Switzerland,225
492,Monaco,Switzerland,225
674,San Marino,Switzerland,225
184,Cook Islands,Switzerland,225
292,Gibraltar,Switzerland,225
446,Macau,Switzerland,225